time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,init_soc_v,λ,strategies,mu_soc_v,t,seed
3,0.0,0.0,0.06481098873918226,0.06481098873918226,0.14700297600773976,0.8946724189125339,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.06628002910239106,0.06628002910239106,0.14254981120702676,0.9012063594164468,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.06721683821542385,0.06721683821542385,0.14433382358782126,0.8991138720844128,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.06735445838914676,0.06735445838914676,0.14278286106851729,0.9000850199343713,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.0655717696697119,0.0655717696697119,0.14692078712404194,0.8973359171361789,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.06372905907614408,0.06372905907614408,0.14552774115820433,0.8959068412129193,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.06816951972669877,0.06816951972669877,0.14429088289028788,0.8982579687188847,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.061510557994202214,0.061510557994202214,0.14826085874519582,0.8917302124065303,1000,0.75,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.079945176301524,0.079945176301524,0.1342884659899575,0.9121639931773937,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.07372461304797774,0.07372461304797774,0.14036236756154852,0.9036050419024804,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.07454891646358913,0.07454891646358913,0.14151404910635113,0.9073953574164213,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.07605846188338812,0.07605846188338812,0.13902259102718956,0.9083015663059395,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.07785572467809142,0.07785572467809142,0.13395333487719857,0.9113559125595136,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.07539723993074482,0.07539723993074482,0.13947077057446208,0.9069322744011554,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.07566639687787688,0.07566639687787688,0.13803068273191335,0.9110980470131611,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.0773645306389889,0.0773645306389889,0.1368297220540709,0.9099387226517226,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.07774003241064469,0.07774003241064469,0.13514796319033873,0.9099272820284648,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.07815054891417217,0.07815054891417217,0.13489873143339065,0.9097403520045003,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.07474510565634872,0.07474510565634872,0.14141476912831186,0.90462027233432,1000,0.8,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.08886916143981555,0.08886916143981555,0.12819528316345255,0.9251110036648685,1000,0.85,0.1,25,0.0,1.5,UB,0.0,25,1
