time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,μ,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,UB&PB,45069
2500,1.2582765923177373,0.46802882058322315,0.2773804317401215,0.6405824691791289,0.13541446660166315,0.05619813057786339,0.2709574796242104,0.203398501840527,0.11403136598696093,0.3094657576576236,0.636928216062544,0.3630717839374554,0.6213672770271605,0.6292438368645036,0.6019031969013064,0.6555769948385335,0.5154564856426816,0.6977162512450367,0.6405540948643819,0.6464657410192006,0.6177984791360411,0.6761181464442924,0.6196934352209529,0.6153816252591859,0.6050078051853056,0.6315937727674514,0.6048604198348455,0.6052620432434199,0.5967058664106402,0.6144459259053574,0.6135044433624284,0.9967952845367598,1290.8163321018562,856.7646430583841,2330.9811177300926,0.8,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,UB&PB,45069
2500,1.2829921352991,0.5665017002189199,0.3630617515342502,0.7435154995249489,0.1415460985480019,0.07658205198603187,0.22159368319035264,0.15875269708234316,0.07973318479694835,0.2969050812476401,0.6306147832267222,0.36938521677327624,0.6216137055650895,0.6263068750062559,0.6091336443296054,0.6459596115633085,0.5344672202564742,0.6840436623627363,0.6360689387869028,0.6388047636814133,0.6188318484973943,0.6623354889687205,0.6159599514100386,0.6134041234056883,0.6049357615286906,0.6253086153935195,0.6046735061470542,0.6049310786161987,0.5978082707247419,0.612553067059579,0.6013354178974668,0.9976661421243255,2881.016012638644,1403.9743846884714,7579.15395692493,0.85,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,UB&PB,45069
2500,1.301481162137288,0.703021667916168,0.5686999109214348,0.8251480902753477,0.5052439399601404,0.2742551002211293,0.714746828636743,0.16138573261733674,0.07886370509662145,0.2962433969381589,0.49221606254442113,0.5077839374555787,0.6121097410948239,0.6144978887768568,0.6038876216924908,0.6275043453593606,0.543005367683219,0.6684719126142247,0.6179900768010439,0.6185293366888578,0.6069051546065563,0.6349106245816408,0.6148986419114231,0.6116480278661467,0.6042265029414942,0.6213219516364251,0.604750681452884,0.604828184487519,0.6005692320345106,0.6093539557857084,0.6167828687983439,1.0020860751525167,7136.703194755413,3723.5682678432813,13588.732594602574,0.9,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,UB&PB,45069
2500,1.3186383283165077,0.3356379399089145,0.21428347516689075,0.45267620272091924,0.20249154730214464,0.0953868850281797,0.334102411936143,0.40692267035503643,0.2762428887551871,0.5747344828631793,0.576151385927505,0.42384861407249486,0.6673141695662766,0.6718543606078589,0.6476981334388247,0.6935685133134019,0.5960114225433939,0.7241431193165068,0.6828799278065096,0.686652338120985,0.6639477397417745,0.7070463788446418,0.6486757065830743,0.6465144291636225,0.6241518750628352,0.6705538849618444,0.6045587161888017,0.605350682313497,0.5927380356880046,0.6183158675501912,0.666751081571568,1.0167038116624727,971.5999012190803,781.4227540136137,1255.6255202485277,0.95,0.0,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,UB&PB,45069
2500,0.9538852882918754,0.11680684817707127,0.05661184632694051,0.19737742161706487,0.06742316230371503,0.03056114421790332,0.11395783188111179,0.6941471151848724,0.5872488447661802,0.803412830736878,0.7722061122956645,0.22779388770433512,0.4214288330796253,0.458321202030476,0.2954252078766255,0.5722732987832861,0.04069097331448347,0.6738088126133978,0.5062438114131008,0.5562859959537783,0.41406064822112715,0.6410178524317934,0.568339563368289,0.5748476774193468,0.5258335769282639,0.6186143408472417,0.5951438971963866,0.6036257460965292,0.5537660401380837,0.6429499353968907,0.4288040710059615,0.7442406671888694,612.639249339184,533.9094609757088,699.179320369315,0.05,0.05,UB&PB,45069
